ADMIN ID, ADMIN USERNAME, TIME, ACTION
1,admin,10:41:46 am,-Login successful-
1,admin,11:50:30 am,-View News Listing PAGE:1-
1,admin,11:56:53 am,-View Reviews Listing-
1,admin,11:57:48 am,-View Reviews Listing-
1,admin,12:00:54 pm,-View News Listing PAGE:1-
1,admin,12:02:00 pm,-View Reviews Listing-
1,admin,12:03:53 pm,-View Reviews Listing-
1,admin,12:04:35 pm,-View Reviews Listing-
1,admin,12:04:40 pm,-View Reviews Listing-
1,admin,12:08:21 pm,-View Reviews Listing-
1,admin,12:08:37 pm,-View Reviews Listing-
1,admin,12:09:40 pm,-View Reviews Listing-
1,admin,12:10:19 pm,-View Reviews Listing-
1,admin,12:15:07 pm,-View Reviews Listing-
1,admin,12:15:30 pm,-View Reviews Listing-
1,admin,12:15:34 pm,-View Reviews Listing-
1,admin,12:15:41 pm,-View Reviews Listing-
1,admin,12:15:44 pm,-View Reviews Listing-
1,admin,12:16:29 pm,-View Reviews Listing-
1,admin,12:16:32 pm,-View Reviews Listing-
1,admin,12:16:36 pm,-View Reviews Listing-
1,admin,12:16:52 pm,-View Reviews Listing-
1,admin,12:16:57 pm,-View Reviews Listing-
1,admin,12:17:01 pm,-View Reviews Listing-
1,admin,12:17:13 pm,-View Reviews Listing-
1,admin,12:19:30 pm,-View Reviews Listing-
1,admin,12:19:33 pm,-View Reviews Listing-
1,admin,12:19:40 pm,-ADD NEWS CATEGORY [test 2005]-
1,admin,12:19:40 pm,-View Reviews Listing-
1,admin,12:20:01 pm,-View Reviews Listing-
1,admin,12:20:32 pm,-View Reviews Listing-
1,admin,12:20:43 pm,-ADD NEWS CATEGORY [test 2010\"]-
1,admin,12:20:43 pm,-View Reviews Listing-
1,admin,12:22:26 pm,-ADD NEWS CATEGORY [cfdgfd]-
1,admin,12:22:26 pm,-View Reviews Listing-
1,admin,12:22:48 pm,-View Reviews Listing-
1,admin,12:22:52 pm,-ADD NEWS CATEGORY [hfghgh]-
1,admin,12:22:52 pm,-View Reviews Listing-
1,admin,12:23:49 pm,-View Reviews Listing-
1,admin,12:23:57 pm,-ADD NEWS CATEGORY [test 2005]-
1,admin,12:23:57 pm,-View Reviews Listing-
1,admin,12:24:10 pm,-View Reviews Listing-
1,admin,12:24:38 pm,-View Reviews Listing-
1,admin,12:24:43 pm,-UPDATE NEWS CATEGORY [test 20054545]-
1,admin,12:24:44 pm,-View Reviews Listing-
1,admin,12:25:15 pm,-UPDATE NEWS CATEGORY [test 20054545gfgfd]-
1,admin,12:25:15 pm,-View Reviews Listing-
1,admin,12:25:53 pm,-UPDATE NEWS CATEGORY [test 20054545gfgfd]-
1,admin,12:25:53 pm,-View Reviews Listing-
1,admin,12:26:10 pm,-UPDATE NEWS CATEGORY [test 20054545gfgfd]-
1,admin,12:26:10 pm,-View Reviews Listing-
1,admin,12:27:39 pm,-View Reviews Listing-
1,admin,12:27:44 pm,-DELETE NEWS CATEGORY [46]-
1,admin,12:27:45 pm,-View Reviews Listing-
1,admin,12:27:57 pm,-ADD NEWS CATEGORY [fdfsd]-
1,admin,12:27:58 pm,-View Reviews Listing-
1,admin,12:28:07 pm,-DELETE NEWS CATEGORY [47]-
1,admin,12:28:08 pm,-View Reviews Listing-
