ADMIN ID,ADMIN USERNAME,TIME,ACTION
1,admin,11:51:15 am,-View User Listing-
1,admin,11:52:36 am,-View User Listing-
1,admin,11:52:40 am,-View User Listing-
1,admin,11:57:26 am,-LOGIN ATTEMP FAILED FOR USERNAME: mom1 AND PASSWORD: 123456-
1,admin,12:56:20 pm,-Login successful-
1,admin,01:33:27 pm,-View Ads Banner Listing-
1,admin,01:54:37 pm,-View Software Listing PAGE:1-
1,admin,01:54:58 pm,-View Software Listing PAGE:1-
1,admin,01:55:03 pm,-View Software Listing PAGE:2-
1,admin,01:56:45 pm,-UPDATE SOFTWARE []-
1,admin,01:56:47 pm,-View Software Listing PAGE:1-
1,admin,01:56:52 pm,-View Software Listing PAGE:2-
1,admin,01:57:08 pm,-UPDATE SOFTWARE []-
1,admin,01:57:10 pm,-View Software Listing PAGE:1-
1,admin,01:57:16 pm,-View Software Listing PAGE:2-
1,admin,02:14:27 pm,-View User Listing-
1,admin,02:14:32 pm,-View User Listing-
1,admin,02:14:36 pm,-View User Listing-
1,admin,02:14:42 pm,-CHANGE PASSWORD FOR USER [27]-
1,admin,02:14:54 pm,-UPDATE USER [27]-
1,admin,02:15:01 pm,-View User Listing-
1,admin,10:28:25 am,-Login successful-
1,admin,10:28:41 am,-View Software Listing PAGE:1-
1,admin,10:29:04 am,-View Software Listing PAGE:1-
1,admin,10:29:05 am,-View User Listing-
1,admin,10:29:15 am,-View User Listing-
1,admin,10:29:42 am,-View Ads Banner Listing-
1,admin,10:29:48 am,-View Reviews Listing-
1,admin,10:30:18 am,-View Reviews Listing-
1,admin,10:30:51 am,-View Reviews Listing-
1,admin,10:30:56 am,-View Reviews Listing-
1,admin,10:31:03 am,-View Reviews Listing-
1,admin,10:31:14 am,-View User Listing-
1,admin,10:31:26 am,-View Software Listing PAGE:1-
1,admin,10:44:30 am,-Logout successful-
,,10:50:25 am,-LOGIN ATTEMP FAILED FOR USERNAME:  AND PASSWORD: -
2,writer,10:54:56 am,-Login successful-
2,writer,10:55:05 am,-CHANGE PASSWORD FOR USER [2]-
2,writer,10:55:08 am,-View News Listing PAGE:1-
2,writer,10:55:20 am,-View Software Listing PAGE:1-
2,writer,11:00:32 am,-Logout successful-
2,writer,11:00:45 am,-Login successful-
2,writer,11:01:02 am,-Logout successful-
2,writer,11:01:42 am,-Login successful-
2,writer,11:05:48 am,-Logout successful-
2,writer,11:05:58 am,-Login successful-
2,writer,11:06:23 am,-Logout successful-
1,admin,11:31:04 am,-Login successful-
1,admin,11:32:28 am,-View News Listing PAGE:1-
1,admin,12:28:50 pm,-View Software Listing PAGE:1-
1,admin,12:29:22 pm,-View Software Listing PAGE:1-
1,admin,01:27:41 pm,-View Software Listing PAGE:1-
1,admin,01:39:19 pm,-View Software Listing PAGE:1-
1,admin,01:40:01 pm,-UPDATE SOFTWARE []-
1,admin,01:40:04 pm,-View Software Listing PAGE:1-
1,admin,01:40:37 pm,-UPDATE SOFTWARE []-
1,admin,01:40:40 pm,-View Software Listing PAGE:1-
1,admin,01:40:53 pm,-UPDATE SOFTWARE []-
1,admin,01:40:56 pm,-View Software Listing PAGE:1-
1,admin,01:42:14 pm,-UPDATE SOFTWARE []-
1,admin,01:42:25 pm,-View Software Listing PAGE:1-
1,admin,01:43:00 pm,-UPDATE SOFTWARE []-
1,admin,01:43:04 pm,-View Software Listing PAGE:1-
1,admin,01:43:50 pm,-UPDATE SOFTWARE []-
1,admin,01:43:55 pm,-View Software Listing PAGE:1-
1,admin,01:44:50 pm,-ADD SOFTWARE []-
