id,client_id,bill_date,due_date,bill_amount
,1,5/1/2011,28/1/2011," 21,012.00 "
,2,5/1/2011,28/1/2011," 36,982.40 "
,3,5/1/2011,28/1/2011," 10,054.40 "
,4,5/1/2011,28/1/2011," 55,632.00 "
,5,5/1/2011,28/1/2011," 35,649.60 "
,6,5/1/2011,28/1/2011," 25,584.00 "
,7,5/1/2011,28/1/2011," 23,680.80 "
,8,5/1/2011,28/1/2011," 1,400.00 "
,9,5/1/2011,28/1/2011," 3,864.00 "
,10,5/1/2011,28/1/2011," 9,856.00 "
,11,5/1/2011,28/1/2011," 290,220.00 "
,12,5/1/2011,28/1/2011," 15,460.00 "
,13,5/1/2011,28/1/2011," 86,988.00 "
,14,5/1/2011,28/1/2011," 8,319.20 "
,15,5/1/2011,28/1/2011," 9,769.60 "
,16,5/1/2011,28/1/2011," 34,273.20 "
,17,5/1/2011,28/1/2011," 28,647.20 "
,18,5/1/2011,28/1/2011, 120.00 
,19,5/1/2011,28/1/2011," 3,771.00 "
,20,5/1/2011,28/1/2011," 7,622.40 "
,,,,
,,,,
,,,,
